图书排行,书名,缩略图地址,图书地址,作者,译者,出版社,定价,京东价
1,你早该这么玩Excel II,http://img10.360buyimg.com/n3/g5/M02/1B/0F/rBEIC1APZzoIAAAAAAFrNQUE2MwAAFXjgNIj_kAAWtN101.jpg,http://book.360buy.com/11049158.html,北京大学出版社,,北京大学出版社,49.00,29.90
2,HTTP权威指南,http://img10.360buyimg.com/n3/g1/M05/06/16/rBEGD1AbNYoIAAAAAAE1a0rBJBoAABTxAF0VfEAATWD240.jpg,http://book.360buy.com/11056556.html,（美）D,陈涓,人民邮电出版社,109.00,81.10
3,30天自制操作系统（附光盘1张）,http://img10.360buyimg.com/n3/g3/M03/06/16/rBEGE1AbQ1gIAAAAAADYV1zR9dUAABTzgO8GpQAANhv893.jpg,http://book.360buy.com/11055051.html,（日）川,周自恒,人民邮电出版社,99.00,73.60
4,编程ING：人人都能学会程序设计,http://img10.360buyimg.com/n3/g5/M02/1B/0D/rBEDilANJAoIAAAAAAJqsO-YfoMAAFW7gKqxxEAAmrI375.jpg,http://book.360buy.com/11048829.html,电子工业出版社,,电子工业出版社,68.00,46.20
5,深入理解Android：卷2,http://img10.360buyimg.com/n3/g1/M01/06/16/rBEGDVAbadoIAAAAAADj_zUxrbcAABT5ALgxCwAAOQX427.jpg,http://book.360buy.com/11056661.html,机械工业出版社,,机械工业出版社,79.00,56.30
6,锋利的jQuery（第2版）,http://img10.360buyimg.com/n3/g5/M02/0F/0A/rBEIC0_r0zoIAAAAAAD7LhnhqZgAAC_vAEVOkgAAPtG602.jpg,http://book.360buy.com/11019625.html,人民邮电出版社,,人民邮电出版社,49.00,36.80
7,深入理解Oracle Exadata,http://img10.360buyimg.com/n3/g2/M04/06/0B/rBEGElANIIwIAAAAAAEFHOKF3oMAABPkQIb_8YAAQU0415.jpg,http://book.360buy.com/11048830.html,（美）奥,黄凯耀,电子工业出版社,99.00,69.30
8,数据挖掘：概念与技术（原书第3版）,http://img10.360buyimg.com/n3/g1/M01/06/16/rBEGD1Abae0IAAAAAAFBxuqamHoAABT5AJ0gr0AAUHe209.jpg,http://book.360buy.com/11056660.html,（美）J,范明,机械工业出版社,79.00,59.30
9,Photoshop CS6完全自学教程（中文版）（附DVD光盘1张）,http://img10.360buyimg.com/n3/g5/M02/0F/0A/rBEDik_r09UIAAAAAAG2XKNi-EMAAC_yQEnwEoAAbZ0660.jpg,http://book.360buy.com/11020038.html,人民邮电出版社,,人民邮电出版社,99.00,70.30
10,数据之魅：基于开源工具的数据分析,http://img10.360buyimg.com/n3/g5/M02/0F/1A/rBEIC0_sGjsIAAAAAAE3ModAxfsAADF4QJTm-wAATdK666.jpg,http://book.360buy.com/11029815.html,Phil,黄权,清华大学出版社,89.00,66.80
11,入门经典系列：iOS 5应用开发入门经典（第3版）,http://img10.360buyimg.com/n3/g5/M02/15/06/rBEIDFAH6B4IAAAAAAEDthwzSvEAAEI8AHHpKAAAQPO518.jpg,http://book.360buy.com/11037545.html,（美）J,袁国忠,人民邮电出版社,79.00,59.30
12,产品经理修炼之道,http://img10.360buyimg.com/n3/g5/M02/14/19/rBEDilAFIBYIAAAAAAE42IWmlbYAAEEGAFotaUAATjw921.jpg,http://book.360buy.com/11042835.html,机械工业出版社,,机械工业出版社,59.00,41.30
13,构建高可用Linux服务器（第2版）,http://img10.360buyimg.com/n3/g5/M02/1B/12/rBEIC1ASV04IAAAAAAC-JxM0INUAAFYuQAWu9kAAL4_133.jpg,http://book.360buy.com/11053131.html,机械工业出版社,,机械工业出版社,79.00,56.30
14,VC++深入详解（修订版）(含DVD光盘1张),http://img10.360buyimg.com/n3/g5/M02/1C/04/rBEIDFAp5g4IAAAAAADn6idPBJQAAFfmAK0jkQAAOgC201.jpg,http://book.360buy.com/11055500.html,电子工业出版社,,电子工业出版社,99.00,71.30
15,图灵原创：Node.js开发指南,http://img10.360buyimg.com/n3/g5/M02/0D/17/rBEDik_nzJ4IAAAAAADIhRVE_3gAACrgAP4HdoAAMid447.jpg,http://book.360buy.com/11026414.html,人民邮电出版社,,人民邮电出版社,45.00,33.80
16,网站蓝图：Axure RP高保真网页原型制作,http://img10.360buyimg.com/n3/g5/M02/0D/1E/rBEIC0_pdvwIAAAAAAB0KNpjGukAACudwN1lUgAAHRA353.jpg,http://book.360buy.com/11028171.html,清华大学出版社,,清华大学出版社,99.00,74.20
17,Excel 2007数据透视表应用大全,http://img10.360buyimg.com/n3/g5/M02/14/15/rBEDilAD9BEIAAAAAAEzVwYwJcgAAECdQEyauwAATNv544.jpg,http://book.360buy.com/11028426.html,人民邮电出版社,,人民邮电出版社,79.00,59.30
18,Photoshop CS5从入门到精通（中文版）（附DVD光盘2张）,http://img10.360buyimg.com/n3/g1/M01/06/1A/rBEGDlAg4dsIAAAAAAG63B1mtfQAABVcABvzHwAAbr0163.jpg,http://book.360buy.com/11050753.html,,,人民邮电出版社,99.00,74.30
19,O’Reilly精品图书系列：编写可读代码的艺术,http://img10.360buyimg.com/n3/g5/M00/03/09/rBEDik_Zh6oIAAAAAAD30NgwDhkAAApCAC9qh0AAPfo079.jpg,http://book.360buy.com/11020839.html,（美）鲍,尹哲,机械工业出版社,59.00,44.20
20,Erlang/OTP并发编程实战,http://img10.360buyimg.com/n3/g5/M02/12/1C/rBEDik_0CAIIAAAAAAEfy4Ka-SkAADsUwPFRkkAAR_j680.jpg,http://book.360buy.com/11037265.html,（美）M,连城,人民邮电出版社,79.00,58.80
21,探索式测试实践之路,http://img10.360buyimg.com/n3/g1/M03/06/1D/rBEGD1AjcdAIAAAAAAEJlh1Jkp0AABWXAN-uFgAAQmu590.jpg,http://book.360buy.com/11064747.html,电子工业出版社,,电子工业出版社,65.00,49.10
22,I'm a Mac雄狮训练手册,http://img10.360buyimg.com/n3/g1/M01/06/1A/rBEGDlAg4d4IAAAAAAEBKlRrQoYAABVcACcrtoAAQFC941.jpg,http://book.360buy.com/11051486.html,人民邮电出版社,,人民邮电出版社,89.00,67.20
23,传世经典书丛：UNIX编程艺术,http://img10.360buyimg.com/n3/g8/M03/04/15/rBEHaFA925kIAAAAAAFO-BHTntQAAA6iQPE31YAAU8Q967.jpg,http://book.360buy.com/11075445.html,（美）E,姜宏,电子工业出版社,99.00,85.00
24,Oracle数据库性能优化的艺术,http://img10.360buyimg.com/n3/g5/M02/14/01/rBEIC0_-QZkIAAAAAADmga4HtTkAAD6xADbYBgAAOaZ292.jpg,http://book.360buy.com/11040338.html,机械工业出版社,,机械工业出版社,79.00,54.70
25,JavaScript模式,http://img10.360buyimg.com/n3/g5/M02/14/0A/rBEDik__8usIAAAAAAEtyxFXDG4AAD-AwPnynMAAS3j673.jpg,http://book.360buy.com/11044070.html,（美）斯,陈新,中国电力出版社,38.00,28.50
26,C语言深度解剖（第2版）：解开程序员面试笔试的秘密,http://img10.360buyimg.com/n3/g2/M01/06/0C/rBEGEFAOYjwIAAAAAAEBg4cYGqcAABP9ACpJgAAAQGb428.jpg,http://book.360buy.com/11044450.html,北京航空航天大学出版社,,北京航空航天大学出版社,29.00,24.70
27,软件架构设计：程序员向架构师转型必备（第2版）,http://img10.360buyimg.com/n3/g5/M02/03/07/rBEIC0_ZRUoIAAAAAAEAAvy4fs8AAAoRAIiTWsAAQAa690.jpg,http://book.360buy.com/11020024.html,电子工业出版社,,电子工业出版社,39.00,29.30
28,思科数据中心系列：云计算与数据中心自动化,http://img10.360buyimg.com/n3/g5/M02/15/06/rBEDilAH6NcIAAAAAADY_EPU_p4AAEI8QO7LKsAANkU906.jpg,http://book.360buy.com/11037556.html,（美）V,张猛,人民邮电出版社,79.00,59.30
29,系统集成项目管理工程师教程,http://img10.360buyimg.com/n3/g5/M02/15/04/rBEDilAHtzwIAAAAAAEmuI8QADEAAEIMABhw2YAASbQ146.jpg,http://book.360buy.com/11042378.html,电子工业出版社,,电子工业出版社,49.80,37.30
30,Android开发精要,http://img10.360buyimg.com/n3/g7/M03/04/1B/rBEHZVA_IIkIAAAAAADF_gCb99sAAA80ACfuv0AAMYW943.jpg,http://book.360buy.com/11053133.html,机械工业出版社,,机械工业出版社,69.00,49.20
31,HTML5游戏开发实战,http://img10.360buyimg.com/n3/g3/M03/06/10/rBEGE1ASYV8IAAAAAADkIheSBKUAABRZALiOWAAAOQ6325.jpg,http://book.360buy.com/11053134.html,（美）M,吕定平,机械工业出版社,59.00,43.90
32,Learning Android（中文版）,http://img10.360buyimg.com/n3/g2/M02/06/0B/rBEGElANHhEIAAAAAADORkaysUsAABPjwOxYuMAAM5e473.jpg,http://book.360buy.com/11048831.html,（美）加,李亚舟,电子工业出版社,49.00,36.80
33,Aperture 3修出好照片（附CD光盘1张）,http://img10.360buyimg.com/n3/g8/M03/00/02/rBEHZ1AsTkIIAAAAAAFtqrlprIIAAABFAMo5rAAAW3C101.jpg,http://book.360buy.com/11053129.html,科学出版社,,科学出版社,79.00,61.90
